,correct,incorrect,dec_correct_inp,dec_correct_out
7350,Connect botth IDEATA drives and popular SATA drivs.,Connect to both IDEATA drives and popular SATA drives.,<start> Connect botth IDEATA drives and popular SATA drivs.,Connect botth IDEATA drives and popular SATA drivs. <end>
1150,largersize of the ciliary body.,bigger size of the ciliary body.,<start> largersize of the ciliary body.,largersize of the ciliary body. <end>
4195,"April th ""Email traffic surges as quarterly deadline looms""","April th ""Email traffic surges as quarterly campaign finance deadline looms""","<start> April th ""Email traffic surges as quarterly deadline looms""","April th ""Email traffic surges as quarterly deadline looms"" <end>"
9536,I can still remember the smell of my mother Marie grind spices.,I can still remember the smell of my mother Marie grinding spices.,<start> I can still remember the smell of my mother Marie grind spices.,I can still remember the smell of my mother Marie grind spices. <end>
8976,I contacts with Ford and ChingLos Angeles in.,"In Los Angeles, contact Ford & Ching.",<start> I contacts with Ford and ChingLos Angeles in.,I contacts with Ford and ChingLos Angeles in. <end>
1102,To check your previous rent balance simply text BAL to .,To check your current rent balance simply text BAL to .,<start> To check your previous rent balance simply text BAL to .,To check your previous rent balance simply text BAL to . <end>
8150,How To transfer some out text message of android phone to computer?,How to transfer text messages from android phone to computer?,<start> How To transfer some out text message of android phone to computer?,How To transfer some out text message of android phone to computer? <end>
307,Law library Â§ â.a results of auditing.,D.C. Law Library Â§ â.a. Postelection audits.,<start> Law library Â§ â.a results of auditing.,Law library Â§ â.a results of auditing. <end>
1962,""", W . ""swivel bar stool"" By ophelia & co.",".""Wallick ."""" Swivel Bar Stool"" By Ophelia & Co.","<start> "", W . ""swivel bar stool"" By ophelia & co.",""", W . ""swivel bar stool"" By ophelia & co. <end>"
1619,It that also what ways are the creatorâs artistic sensibilities manifest in their algorithm?,It what ways are the creatorâs artistic sensibilities manifest in their algorithm?,<start> It that also what ways are the creatorâs artistic sensibilities manifest in their algorithm?,It that also what ways are the creatorâs artistic sensibilities manifest in their algorithm? <end>
5186,Will the pineapple take away from the carrot make taste?,Does the pineapple take away from the carrot cake taste?,<start> Will the pineapple take away from the carrot make taste?,Will the pineapple take away from the carrot make taste? <end>
2665,"W W. Evans, Grand River","W W. Evans, Grand River.","<start> W W. Evans, Grand River","W W. Evans, Grand River <end>"
5263,GOOD PaperbackWINTER STROLLER.,GOOD PaperbackWINTER STROLL.,<start> GOOD PaperbackWINTER STROLLER.,GOOD PaperbackWINTER STROLLER. <end>
9330,"id,title,url,image ,""Aviator Glasses"",""httpswww.test.comglasses"",""httpswww.test.comglasses.jpg"" ,""Vintage Glasses"",""httpswww.test.comglasses"", ""httpswww.test.comgrasses.jpg"" ,""Retro Glasses "","" ...","id,title,url,image ,""Aviator Glasses"",""httpswww.test.comglasses"",""httpswww.test.comglasses.jpg"" ,""Vintage Glasses"",""httpswww.test.comglasses"",""httpswww.test.comglasses.jpg"" ,""Retro Glasses"",""httpswww.test.comglasses"",""httpswww.test.comglasses.jpg""","<start> id,title,url,image ,""Aviator Glasses"",""httpswww.test.comglasses"",""httpswww.test.comglasses.jpg"" ,""Vintage Glasses"",""httpswww.test.comglasses"", ""httpswww.test.comgrasses.jpg"" ,""Retro Glasses "","" ...","id,title,url,image ,""Aviator Glasses"",""httpswww.test.comglasses"",""httpswww.test.comglasses.jpg"" ,""Vintage Glasses"",""httpswww.test.comglasses"", ""httpswww.test.comgrasses.jpg"" ,""Retro Glasses "","" ... <end>"
9580,Just What the HECK is like a JobShield?,Just What the Heck is an InvisibleShield?,<start> Just What the HECK is like a JobShield?,Just What the HECK is like a JobShield? <end>
8527,"And thatâs a proetty good comparison, I think.","And thatâs a pretty good deal, I think.","<start> And thatâs a proetty good comparison, I think.","And thatâs a proetty good comparison, I think. <end>"
4464,. Does the individual need help to getting dress?,. Does the individual need help getting dressed?,<start> . Does the individual need help to getting dress?,. Does the individual need help to getting dress? <end>
9120,We have matching mens hawaiian shirt available,We have matching mens hawaiian shirt available.,<start> We have matching mens hawaiian shirt available,We have matching mens hawaiian shirt available <end>
4782,Pak Arab Container terminal & ServicesLtd.,Pak Arab Container Terminal & ServicesLtd.,<start> Pak Arab Container terminal & ServicesLtd.,Pak Arab Container terminal & ServicesLtd. <end>
5836,ICARE Acdaemies in Philadelphia & Richmond Registration!,ICARE Academies in Philadelphia & Richmond Registration Open!,<start> ICARE Acdaemies in Philadelphia & Richmond Registration!,ICARE Acdaemies in Philadelphia & Richmond Registration! <end>
7009,'We Selecting sytem to Business Green industry,Selecting systems for your Green Industry business.,<start> 'We Selecting sytem to Business Green industry,'We Selecting sytem to Business Green industry <end>
3396,Meeting was a great success with great to number of attendees!,The meeting was a great success with a great number of attendees!,<start> Meeting was a great success with great to number of attendees!,Meeting was a great success with great to number of attendees! <end>
7952,Definition at line of file vtkLookupTable.h.,Definition at line of file vtkLookupTable.h.,<start> Definition at line of file vtkLookupTable.h.,Definition at line of file vtkLookupTable.h. <end>
3053,. H x . W Shelving Unit byIRIS USA AG.,". H x . W Shelving Unit by IRIS USA, Inc.",<start> . H x . W Shelving Unit byIRIS USA AG.,. H x . W Shelving Unit byIRIS USA AG. <end>
1430,Special Mention in German Design Award .,German Design Award Special Mention.,<start> Special Mention in German Design Award .,Special Mention in German Design Award . <end>
9522,"Not blame yourself, this prerequisite touch but two games, MM and MM","Do not blame yourself, this prerequisite touches but two games, MM and MM.","<start> Not blame yourself, this prerequisite touch but two games, MM and MM","Not blame yourself, this prerequisite touch but two games, MM and MM <end>"
5956,You can check our the trailer.,You can check out the trailer!,<start> You can check our the trailer.,You can check our the trailer. <end>
2968,"This entry was posted in uncategorized on May th, by wis.m into institute.","This entry was posted in Uncategorized on May , by wis.","<start> This entry was posted in uncategorized on May th, by wis.m into institute.","This entry was posted in uncategorized on May th, by wis.m into institute. <end>"
581,Wow That really is in this palace.,Wow. That really is stunning.,<start> Wow That really is in this palace.,Wow That really is in this palace. <end>
586,ONLY FOR REVIEW!!! Those who Bolt is new patches !,ONLY FOR REVIEW!!! Bolt Thrower patches !,<start> ONLY FOR REVIEW!!! Those who Bolt is new patches !,ONLY FOR REVIEW!!! Those who Bolt is new patches ! <end>
7271,as an evening dreamâs passsing overall.,like an evening dreamâs passing time.,<start> as an evening dreamâs passsing overall.,as an evening dreamâs passsing overall. <end>
9070,How long did take you? or cannot remember?,How long did this take you? or cannot you remember?,<start> How long did take you? or cannot remember?,How long did take you? or cannot remember? <end>
4330,"Plan a pickup today, put away clean clothes tomorrow.","Schedule a pick up today, put away clean clothes tomorrow.","<start> Plan a pickup today, put away clean clothes tomorrow.","Plan a pickup today, put away clean clothes tomorrow. <end>"
511,. English expression English and grammar as vocaburaly.,. English expression English grammar and vocabulary.,<start> . English expression English and grammar as vocaburaly.,. English expression English and grammar as vocaburaly. <end>
8697,Doors Open at pm show comes at pm.,"Doors Open at pm, show starts at pm.",<start> Doors Open at pm show comes at pm.,Doors Open at pm show comes at pm. <end>
2538,Looks good looking forward to having a go!,"Looks good, looking forward to having a go!",<start> Looks good looking forward to having a go!,Looks good looking forward to having a go! <end>
7555,Bored In marriage tips to avoid this!,Bored In Marriage Tips to Avoid That!,<start> Bored In marriage tips to avoid this!,Bored In marriage tips to avoid this! <end>
8722,Now they are say Fritz is the one who killed Norman.,Now they are saying Fritz is the one who killed Norman.,<start> Now they are say Fritz is the one who killed Norman.,Now they are say Fritz is the one who killed Norman. <end>
1114,Last edited by Klyde at PM.,Last edited by Klyde at PM.,<start> Last edited by Klyde at PM.,Last edited by Klyde at PM. <end>
1111,Woodies Reported in flower was Red Maple and Horse Chestrtss.,Woodies Reported in flower was Red Maple and Horse Chestnut.,<start> Woodies Reported in flower was Red Maple and Horse Chestrtss.,Woodies Reported in flower was Red Maple and Horse Chestrtss. <end>
3251,"Four motors and cars derailed Friday, leaving four crews slightly hurt.","Four engines and cars derailed Friday, leaving four crewmembers slightly hurt.","<start> Four motors and cars derailed Friday, leaving four crews slightly hurt.","Four motors and cars derailed Friday, leaving four crews slightly hurt. <end>"
7422,Cost and value of Useful Tools ..,The Cost and Value of Useful Tools.,<start> Cost and value of Useful Tools ..,Cost and value of Useful Tools .. <end>
3815,And Those that onionry bakked onion rings.,And those onion baked onion rings.,<start> And Those that onionry bakked onion rings.,And Those that onionry bakked onion rings. <end>
4850,"For more information, see& trivia page for Napier.","For more information, see our Tidbits & Trivia Page for Napier.","<start> For more information, see& trivia page for Napier.","For more information, see& trivia page for Napier. <end>"
7359,"Education on uterine menstruation'increases salfesteem, is raised wages and raising grades.","Education on menstruation increases selfesteem, raises wages and raises grades.","<start> Education on uterine menstruation'increases salfesteem, is raised wages and raising grades.","Education on uterine menstruation'increases salfesteem, is raised wages and raising grades. <end>"
3682,Within Seaself noon The Chain Makers Roadblock,Next postTHANK YOU AKSHARA !,<start> Within Seaself noon The Chain Makers Roadblock,Within Seaself noon The Chain Makers Roadblock <end>
3523,Can you find those readings here.,You can find those readings here.,<start> Can you find those readings here.,Can you find those readings here. <end>
3513,Blend made it using aromatherapy for Soo & reviving with body &.,Blends made using aromatherapy for soothing and revitalizing the body.,<start> Blend made it using aromatherapy for Soo & reviving with body &.,Blend made it using aromatherapy for Soo & reviving with body &. <end>
4020,"March, Arbitrary Resources has be celebrating for years.","March, Arbitrary Resources celebrates years.","<start> March, Arbitrary Resources has be celebrating for years.","March, Arbitrary Resources has be celebrating for years. <end>"
6732,Seven different Orangetip specieare place around The United State live on ground.,Seven different Orangetip speciesare regionally placed around the United States.,<start> Seven different Orangetip specieare place around The United State live on ground.,Seven different Orangetip specieare place around The United State live on ground. <end>
3152,"Patient ""Will I survive risk operation?""","Patient ""Will I survive this risky operation?""","<start> Patient ""Will I survive risk operation?""","Patient ""Will I survive risk operation?"" <end>"
4043,And it is the perfect solution of a mess of hose!,It is the perfect solution to a mess of a hose!,<start> And it is the perfect solution of a mess of hose!,And it is the perfect solution of a mess of hose! <end>
2941,"b. See FEB Waltham, Mass.","b. FEB Waltham, Mass.","<start> b. See FEB Waltham, Mass.","b. See FEB Waltham, Mass. <end>"
9273,Bridge over the Wyke beck to carry the carriageway of gate house.,Bridge over the Wyke beck carrying the carriageway from the gate house.,<start> Bridge over the Wyke beck to carry the carriageway of gate house.,Bridge over the Wyke beck to carry the carriageway of gate house. <end>
561,Can be accomplish zoning.,It can be done through zoning.,<start> Can be accomplish zoning.,Can be accomplish zoning. <end>
1343,Verify that power âONâ which junction box is.,Verify that VAC power is âONâ to junction box.,<start> Verify that power âONâ which junction box is.,Verify that power âONâ which junction box is. <end>
5043,The food temperature âdanger zoneâ is in ratio of high temperature?,The food temperature âdanger zoneâ is between what temperature range?,<start> The food temperature âdanger zoneâ is in ratio of high temperature?,The food temperature âdanger zoneâ is in ratio of high temperature? <end>
9672,"Print, outdoor, broadcasing and digital ad placement that push retsults.","Print, outdoor, broadcast and digital ad placement that drives results.","<start> Print, outdoor, broadcasing and digital ad placement that push retsults.","Print, outdoor, broadcasing and digital ad placement that push retsults. <end>"
2428,What Ben nearlly failed in college?,What class did Ben nearly fail in college?,<start> What Ben nearlly failed in college?,What Ben nearlly failed in college? <end>
6839,rd M Grissom singled To lefted.,rd M Grissom singled to left.,<start> rd M Grissom singled To lefted.,rd M Grissom singled To lefted. <end>
65,COMMENTS You can find more information on the NUFinancials upgrade downtime announcement.,"COMMENTS For more information, please see the NUFinancials Upgrade Downtime announcement.",<start> COMMENTS You can find more information on the NUFinancials upgrade downtime announcement.,COMMENTS You can find more information on the NUFinancials upgrade downtime announcement. <end>
8898,"Alternative Applecar theories, Pebble Time and Marco made a Tesla.","Alternative Applecar theories, Pebble Time, and Marco drives a Tesla.","<start> Alternative Applecar theories, Pebble Time and Marco made a Tesla.","Alternative Applecar theories, Pebble Time and Marco made a Tesla. <end>"
4194,Click on the photo to read more of following about the health care speakers.,Click on the photo to read more about the healthcare speakers.,<start> Click on the photo to read more of following about the health care speakers.,Click on the photo to read more of following about the health care speakers. <end>
4271,Example A CharOffsetCompoundPointer I resour,Example A CharOffsetCompoundPointer resource.,<start> Example A CharOffsetCompoundPointer I resour,Example A CharOffsetCompoundPointer I resour <end>
5012,I used my top coat to seal and perotect my for manicure.,I used my top coat to seal and protect my manicure.,<start> I used my top coat to seal and perotect my for manicure.,I used my top coat to seal and perotect my for manicure. <end>
4256,What Problem is way Do a Public Banks Solve?,What Problems Do a Public Banks Solve?,<start> What Problem is way Do a Public Banks Solve?,What Problem is way Do a Public Banks Solve? <end>
3283,Look Back to â 'Much Fun!,A Look Back to â Much Fun!,<start> Look Back to â 'Much Fun!,Look Back to â 'Much Fun! <end>
3266,'have you ever theugh about get a divorce?,. Have you ever thought about getting a divorce?,<start> 'have you ever theugh about get a divorce?,'have you ever theugh about get a divorce? <end>
9862,Aigain sorry to be the bearery of bummer news.,Again. Sorry to be the bearer of bummer news.,<start> Aigain sorry to be the bearery of bummer news.,Aigain sorry to be the bearery of bummer news. <end>
8617,What i wonderful news.... congratulations to you and DH.,What wonderful news.... congratulations to you and DH.,<start> What i wonderful news.... congratulations to you and DH.,What i wonderful news.... congratulations to you and DH. <end>
8102,One set as ceiling speakers.,One set of ceiling speakers.,<start> One set as ceiling speakers.,One set as ceiling speakers. <end>
3736,Email tracker in On Out look?  is,Email tracking in Outlook ?,<start> Email tracker in On Out look?  is,Email tracker in On Out look?  is <end>
3239,Divide the batter in the Prepared Cake Pans.,Divide the batter into the prepared cake pans.,<start> Divide the batter in the Prepared Cake Pans.,Divide the batter in the Prepared Cake Pans. <end>
5890,Screen shots from Nikon SnapBridghe OS application.,Screenshots from Nikon SnapBridge iOS application.,<start> Screen shots from Nikon SnapBridghe OS application.,Screen shots from Nikon SnapBridghe OS application. <end>
2443,To jaan of Arc' portlands OR of mi,"Joan of Arc, Portland, OR mi.",<start> To jaan of Arc' portlands OR of mi,To jaan of Arc' portlands OR of mi <end>
5811,Where can I install my tlies?,Where can I install my tiles?,<start> Where can I install my tlies?,Where can I install my tlies? <end>
7874,The most efficient on the market reaching . BTU ft.,The most efficient on the market. reaching . BTU ft.,<start> The most efficient on the market reaching . BTU ft.,The most efficient on the market reaching . BTU ft. <end>
9172,"Ok, and how do I become a wholeship customer from naw?","Ok, and how do I become a wholesale customer now?","<start> Ok, and how do I become a wholeship customer from naw?","Ok, and how do I become a wholeship customer from naw? <end>"
6695,Unless that is a different GM daily what i did yesterday.,Unless that is a different GM daily from what i did yesterday.,<start> Unless that is a different GM daily what i did yesterday.,Unless that is a different GM daily what i did yesterday. <end>
4737,"The job can update around , records per secound.","The job can update around , records per second.","<start> The job can update around , records per secound.","The job can update around , records per secound. <end>"
2035,SPLetterNo july pp .,"SPLetters, No. , July , pp. .",<start> SPLetterNo july pp .,SPLetterNo july pp . <end>
9124,Polo Park Hearing Centre is blog article series Bleeding Is It?,Polo Park Hearing Centre is blog article series How Loud Is It?,<start> Polo Park Hearing Centre is blog article series Bleeding Is It?,Polo Park Hearing Centre is blog article series Bleeding Is It? <end>
7168,To go seeing in cape spear with my dog Randy and friend!,"Sightseeing at Cape Spear with my dog, Randy, and friend!",<start> To go seeing in cape spear with my dog Randy and friend!,To go seeing in cape spear with my dog Randy and friend! <end>
36,What your favorite ARS part is member of SWE RMS?,What is your favorite part of being a member of SWE RMS?,<start> What your favorite ARS part is member of SWE RMS?,What your favorite ARS part is member of SWE RMS? <end>
3104,You are also welcome to deny diary and say hello!,You are also welcome to drop a line and say hello!,<start> You are also welcome to deny diary and say hello!,You are also welcome to deny diary and say hello! <end>
6425,coroutine fail because threads failed.,coroutine fails because threads failed.,<start> coroutine fail because threads failed.,coroutine fail because threads failed. <end>
638,Excellent stability and free movement for each users of all sizes.,Excellent stability and freedom of movement for users of all sizes.,<start> Excellent stability and free movement for each users of all sizes.,Excellent stability and free movement for each users of all sizes. <end>
3639,"shiny ebonezer and like , no effing ways""","shiny ebonezer AM and i was like, ""no effing way""","<start> shiny ebonezer and like , no effing ways""","shiny ebonezer and like , no effing ways"" <end>"
4335,Why progblem of my container is getting to have some storage problems?,Why is my phone having storage problems?,<start> Why progblem of my container is getting to have some storage problems?,Why progblem of my container is getting to have some storage problems? <end>
6708,I can also arrange making framing of your select photograpches.,I can also arrange framing of your selected photographs.,<start> I can also arrange making framing of your select photograpches.,I can also arrange making framing of your select photograpches. <end>
3303,"As rages, but in the coming year.","As above, but the coming year.","<start> As rages, but in the coming year.","As rages, but in the coming year. <end>"
2097,do you wear langie everywhere you go?,. Do you wear lingerie everywhere you go? or slutty clothes?,<start> do you wear langie everywhere you go?,do you wear langie everywhere you go? <end>
4868,Until it almost must is RGB is and not,They must be RGB and not CMYK.,<start> Until it almost must is RGB is and not,Until it almost must is RGB is and not <end>
8326,this razor and edge 'every night.,this razor is edge every night.,<start> this razor and edge 'every night.,this razor and edge 'every night. <end>
5704,About our middle and high school youth programs.,Our middle and high school youth programs.,<start> About our middle and high school youth programs.,About our middle and high school youth programs. <end>
6658,Check my work at ACTION LAB ENTERTAINMENS!!,Check out my work at ACTION LAB ENTERTAINMENT!!,<start> Check my work at ACTION LAB ENTERTAINMENS!!,Check my work at ACTION LAB ENTERTAINMENS!! <end>
651,"Symptoms code is called in a ""Start baby Katcholle Awe!.""","The code called in the ""start"" and the ""waitallchildren"" method also.","<start> Symptoms code is called in a ""Start baby Katcholle Awe!.""","Symptoms code is called in a ""Start baby Katcholle Awe!."" <end>"
7436,For more information regard to King univercity is Choral Camp please click here.,For more information regarding King University is Choral Camp please click here.,<start> For more information regard to King univercity is Choral Camp please click here.,For more information regard to King univercity is Choral Camp please click here. <end>
2339,Keyword Introduces additional keywords to seeking parameters.,Keyword Adds additional keywords to the search parameters.,<start> Keyword Introduces additional keywords to seeking parameters.,Keyword Introduces additional keywords to seeking parameters. <end>
6774,"VicePresident M&A and Corporate Development, which she good with accepting.","VicePresident M&A and Corporate Development, which she was pleased to accept.","<start> VicePresident M&A and Corporate Development, which she good with accepting.","VicePresident M&A and Corporate Development, which she good with accepting. <end>"
5206,"Oh yes, did I mention it was cold?","Oh yeah, did I mention it was cold?","<start> Oh yes, did I mention it was cold?","Oh yes, did I mention it was cold? <end>"
4522,Customer service call management solution may tailor to your needs.,Customer service call management solution tailored to your needs.,<start> Customer service call management solution may tailor to your needs.,Customer service call management solution may tailor to your needs. <end>
695,"Tammy carleys, blue skined children.","Tammy Carley, Blue Sky Dogs.","<start> Tammy carleys, blue skined children.","Tammy carleys, blue skined children. <end>"
5254,Comments great to work without!!!!!,Comments great to work with!!!!!,<start> Comments great to work without!!!!!,Comments great to work without!!!!! <end>
7783,Students will be qualified competent entry radiation physiciansY.,"Students will be qualified, competent, entrylevel radiographers.",<start> Students will be qualified competent entry radiation physiciansY.,Students will be qualified competent entry radiation physiciansY. <end>
3660,That only gives a minor boost?,That only gives a minor mood boost?,<start> That only gives a minor boost?,That only gives a minor boost? <end>
3655,Cartridges is nicely placed in compartment.,Cartridges are nicely placed in the compartment.,<start> Cartridges is nicely placed in compartment.,Cartridges is nicely placed in compartment. <end>
3503,Convert the document for conversion to PDF with our DocPDF online sales service.,Convert the document to PDF using our DocPDF Online conversion service.,<start> Convert the document for conversion to PDF with our DocPDF online sales service.,Convert the document for conversion to PDF with our DocPDF online sales service. <end>
2050,book brought directly life entertainment âloogy.,book pertains directly to anesthesiology.,<start> book brought directly life entertainment âloogy.,book brought directly life entertainment âloogy. <end>
8627,"The International Reading Association Children is Book Award for Younger Readers, .","International Reading Association Children is Book Award for Younger Readers, .","<start> The International Reading Association Children is Book Award for Younger Readers, .","The International Reading Association Children is Book Award for Younger Readers, . <end>"
3830,"Boyd of bcnthia. "" Asians fastetgrowing ethnic group in minnesota"" MinnPost, June , .","Boyd, Cynthia. ""Asians FastestGrowing Ethnic Group in Minnesota."" MinnPost, June , .","<start> Boyd of bcnthia. "" Asians fastetgrowing ethnic group in minnesota"" MinnPost, June , .","Boyd of bcnthia. "" Asians fastetgrowing ethnic group in minnesota"" MinnPost, June , . <end>"
3875,water including services services services sewers and in treatment services.,". Waste water services, including sewers and treatment services.",<start> water including services services services sewers and in treatment services.,water including services services services sewers and in treatment services. <end>
4633,toufill the SASSed customerâs required.,to suit the customerâs requirements.,<start> toufill the SASSed customerâs required.,toufill the SASSed customerâs required. <end>
5888,"Man, how do you make your position associations?","Man, what DO you do if you do not do drugs?","<start> Man, how do you make your position associations?","Man, how do you make your position associations? <end>"
1433,"From Family Car to KOSU, A Mercedes Do Good.","From Family Car to KOSU, A Mercedes Does Good.","<start> From Family Car to KOSU, A Mercedes Do Good.","From Family Car to KOSU, A Mercedes Do Good. <end>"
6339,Problem Ask a medical application and unique suit iPhone medical imaging.,Problem Find a medical application uniquely suited to iPhone medical imaging.,<start> Problem Ask a medical application and unique suit iPhone medical imaging.,Problem Ask a medical application and unique suit iPhone medical imaging. <end>
1843,Replace a clinch stud o weld stud with a RIVSTUDÂ®!,Replace a clinch stud or weld stud with a RIVSTUDÂ®!,<start> Replace a clinch stud o weld stud with a RIVSTUDÂ®!,Replace a clinch stud o weld stud with a RIVSTUDÂ®! <end>
1141,News Source International Shoe Manufacture Cbp.,News Source International Shoe Manufacturing Corp.,<start> News Source International Shoe Manufacture Cbp.,News Source International Shoe Manufacture Cbp. <end>
130,How to fit everyone in one picture.,How to fit everyone in one picture?,<start> How to fit everyone in one picture.,How to fit everyone in one picture. <end>
